Regione;Elettori Maschi;Elettori Femmine;Elettori Totali;Percentuali votanti;Percentuale voti sì;Percentuale voti no;Percentuale schede bianche, non valide o contestate
ABRUZZO;509116;542933;1052049;0,68716383;0,35273263;0,6379428;0,009324554
BASILICATA;227236;239764;467000;0,6285782;0,3369966;0,6509406;0,012062846
CALABRIA;749404;804337;1553741;0,54434747;0,32658094;0,66415536;0,009263693
CAMPANIA;2190203;2376702;4566905;0,5888167;0,3122611;0,67970264;0,008036235
EMILIA-ROMAGNA;1605036;1721874;3326910;0,75933224;0,49975023;0,49203438;0,008215404
FRIULI-VENEZIA GIULIA;457538;494956;952494;0,7251668;0,3870717;0,6048121;0,008116204
LAZIO;2097786;2304359;4402145;0,69163394;0,36416653;0,62876934;0,0070641413
LIGURIA;585208;656261;1241469;0,69736415;0,3958055;0,5957533;0,008441177
LOMBARDIA;3616467;3863908;7480375;0,74227697;0,44177067;0,55077976;0,007449604
MARCHE;574341;614840;1189181;0,72842824;0,44533977;0,5457712;0,008889063
MOLISE;124778;131822;256600;0,63927513;0,3882942;0,6018605;0,00984528
PIEMONTE;1633247;1763131;3396378;0,72037446;0,4310968;0,55945605;0,009447149
PUGLIA;1571599;1709113;3280712;0,6171377;0,32566303;0,6660768;0,008260189
SARDEGNA;668772;706963;1375735;0,6245084;0,27617738;0,7179017;0,005920913
SICILIA;1920202;2102750;4022952;0,56651956;0,28139806;0,7092166;0,009385362
TOSCANA;1364774;1489355;2854129;0,7445539;0,5203489;0,47058025;0,009070832
TRENTINO-ALTO ADIGE;387839;404665;792504;0,72237617;0,53332657;0,45673257;0,009940854
UMBRIA;324409;350995;675404;0,73474544;0,48414508;0,50749624;0,00835869
VALLE D'AOSTA;48701;51034;99735;0,71907556;0,42623088;0,5593653;0,014403838
VENETO;1802858;1913606;3716464;0,76664805;0,37771285;0,61493427;0,0073528895
